female,moth_birthyr,fath_birthyr,married,age,employed,degree,asset_inc,labor_inc,total_wealth,total_income
1,1982.0,1979.0,0,18.0,1,0,0,14024,0,14024
1,1966.0,1960.0,0,27.0,1,0,0,22000,0,22000
1,1963.0,1963.0,0,31.0,1,2,0,59280,0,59280
1,1972.0,1970.0,0,20.0,7,0,0,4000,0,4000
0,1972.0,1970.0,0,18.0,7,0,0,9200,0,9200
0,1942.0,1938.0,0,56.0,1,0,0,80000,0,80000
1,1977.0,1978.0,0,26.0,1,4,0,18000,0,18000
0,1983.0,,0,19.0,1,0,0,14400,0,14400
1,1983.0,,0,19.0,1,0,0,14400,0,14400
0,1983.0,,0,22.0,1,0,0,14400,0,14400
1,1975.0,1973.0,0,19.0,7,0,0,3975,0,3975
0,1976.0,1975.0,0,19.0,1,0,0,3456,0,3456
1,1972.0,1970.0,0,17.0,7,0,0,4400,0,4400
0,,,0,16.0,7,0,0,346,0,346
1,1979.0,1977.0,0,16.0,1,0,0,5000,0,5000
0,1968.0,1963.0,0,19.0,1,0,0,22000,0,22000
1,1975.0,1971.0,0,18.0,7,0,0,3200,0,3200
0,1975.0,1971.0,0,18.0,7,0,0,600,0,600
0,1967.0,1968.0,0,18.0,7,0,0,3000,0,3000
1,1977.0,1976.0,0,19.0,7,0,0,6000,0,6000
1,1983.0,1980.0,0,18.0,1,0,0,25000,0,25000
0,1970.0,1968.0,0,26.0,3,0,0,50000,0,50000
1,1975.0,1968.0,0,17.0,7,0,0,12000,0,12000
0,1969.0,1971.0,0,16.0,7,0,0,4000,0,4000
0,1974.0,1974.0,0,19.0,7,0,0,3400,0,3400
1,1969.0,1971.0,0,18.0,7,0,0,1000,0,1000
1,1975.0,1979.0,0,21.0,1,0,0,12000,0,12000
0,1960.0,,0,30.0,1,2,0,50000,0,50000
0,1960.0,1962.0,0,25.0,1,0,0,14400,0,14400
0,1960.0,1962.0,0,21.0,1,0,0,14400,0,14400
0,1955.0,1948.0,0,38.0,1,0,0,34560,0,34560
0,1951.0,,1,40.0,2,0,0,51000,0,51000
1,,,0,50.0,1,0,0,26520,0,26520
1,1975.0,1973.0,0,19.0,7,0,0,1200,0,1200
1,1977.0,1979.0,0,18.0,1,0,0,6075,0,6075
0,,,0,18.0,1,0,0,2080,0,2080
0,1956.0,1960.0,0,28.0,6,0,0,20000,0,20000
1,,,0,58.0,1,0,0,14400,0,14400
1,1977.0,1973.0,0,18.0,1,0,0,4500,0,4500
0,1986.0,1983.0,0,17.0,1,0,0,7000,0,7000
1,1972.0,1974.0,0,22.0,1,2,0,56160,0,56160
0,,,1,49.0,9,0,150000,150000,150000,300000
0,1975.0,1969.0,0,22.0,1,0,0,35500,0,35500
0,1981.0,1980.0,0,21.0,1,0,0,37440,0,37440
0,,1970.0,0,23.0,1,2,0,60000,0,60000
0,1969.0,1969.0,0,22.0,1,2,0,6000,0,6000
0,1972.0,1978.0,0,18.0,1,0,0,15000,0,15000
1,1972.0,1978.0,0,17.0,7,0,0,3000,0,3000
1,,,0,30.0,9,0,0,14400,0,14400
0,1944.0,,0,58.0,1,0,0,75000,0,75000
0,1961.0,1958.0,0,36.0,1,2,0,22000,0,22000
0,1987.0,,0,18.0,1,0,0,4800,0,4800
1,1952.0,1920.0,0,41.0,1,0,0,14400,0,14400
0,1959.0,1958.0,0,39.0,3,0,0,2688,0,2688
1,1968.0,1968.0,0,23.0,1,0,0,32000,0,32000
0,1966.0,1965.0,0,21.0,1,0,0,20000,0,20000
1,1968.0,1968.0,0,20.0,1,0,0,20000,0,20000
1,,,0,18.0,1,0,0,6000,0,6000
1,1966.0,1965.0,0,26.0,1,0,0,14400,0,14400
1,1966.0,,0,28.0,1,1,0,14400,0,14400
1,1966.0,,0,20.0,1,0,0,18000,0,18000
0,1975.0,,0,24.0,1,0,0,26733,0,26733
0,1979.0,1977.0,0,24.0,1,2,0,24868,0,24868
